abbreviation,population,smiles
Me,85,['*C']
CF3,79,['*C(F)(F)F']
CO2H,68,['*C(=O)O']
OCF3,22,['*OC(F)(F)F']
NO2,12,['*[N+](=O)[O-]']
OMe,11,['*OC']
F3C,7,['*C(F)(F)F']
OEt,6,['*OCC']
CN,5,['*C#N']
NHBoc,5,['*NC(=O)OC(C)(C)C']
NHAc,5,['*NC(C)=O']
O2N,4,['*[N+](=O)[O-]']
O2C,4,['*OC(*)=O']
,4,"['*C(*)=O', '*C*', '*Cl', '*N']"
SO3H,4,['*S(=O)(=O)O']
SO2NH2,4,['*S(N)(=O)=O']
NC,3,['*[N+]#[C-]']
SO2,3,"['*S(*)(=O)=O', '*SO(*)O']"
TMS,3,['*[Si](C)(C)C']
OQ,3,['*OC']
C2H5,2,['*CC']
CO2Me,2,['*C(=O)OC']
NBoc,2,['*N(*)C(=O)OC(C)(C)C']
CHO,2,['*C=O']
MeO,2,['*OC']
H3CO,2,['*OC']
EtO,1,['*OCC']
O2S,1,['*S(*)(=O)=O']
HO2C,1,['*C(=O)O']
Ar1,1,['*[Ar]']
PPh3,1,['*1=*C=CC=C1']
SO2,1,['*S(*)(=O)=O']
Bu,1,['*CCCC']
NTs,1,['*N(*)S(=O)(=O)C1=CC=C(C)C=C1']
TfO,1,['*OS(=O)(=O)C(F)(F)F']
NHOH,1,['*NO']
COOMe,1,['*C(=O)OC']
BocHN,1,['*NC(=O)OC(C)(C)C']
CO2Et,1,['*C(=O)OCC']
OCH3,1,['*OC']
F3CH2CO,1,['*OC(=C)(F)(F)F']
SCF3,1,['*SC(F)(F)F']
CONH2,1,['*C(N)=O']
