abbreviation,population,smiles
OMe,403,['*OC']
Me,243,['*C']
Ph,241,['*C1=CC=CC=C1']
CF3,221,['*C(F)(F)F']
MeO,210,['*OC']
CO2H,171,['*C(=O)O']
CN,86,['*C#N']
COOH,56,['*C(=O)O']
CH2CH3,55,['*CC']
OCH3,53,['*OC']
NO2,53,['*[N+](=O)[O-]']
O2N,49,['*[N+](=O)[O-]']
SO2NH2,46,['*S(N)(=O)=O']
Boc,45,['*C(=O)OC(C)(C)C']
OEt,43,['*OCC']
OCF3,42,['*OC(F)(F)F']
HO2C,41,['*C(=O)O']
F3C,39,['*C(F)(F)F']
CO2Me,37,['*C(=O)OC']
H3CH2C,36,['*CC']
N(CH2CH3)2,34,['*N(CC)CC']
PMBN,33,['*N(*)CC1=CC=C(OC)C=C1']
(CH3CH2)2N,31,['*N(CC)CC']
H3CO,29,['*OC']
CH2CH2,23,['*CC*']
OAc,20,['*OC(C)=O']
HOOC,20,['*C(=O)O']
NC,19,"['*C#N', '*[N+]#[C-]']"
CO2Et,19,['*C(=O)OCC']
t-Bu,17,['*C(C)(C)C']
COOMe,16,['*C(=O)OC']
Et,14,['*CC']
AcO,14,['*OC(C)=O']
NHCbz,14,['*NC(=O)OCC1=CC=CC=C1']
C2H5,13,['*CC']
CH2CH2CH2CH,12,['*CCCC(*)*']
OCH2CO2Et,12,['*OCC(=O)OCC']
OMs,12,['*OS(C)(=O)=O']
CHO,12,"['*C=O', '*OC']"
NHNH2,11,['*NN']
SO2Me,11,['*S(C)(=O)=O']
OCH2CO2H,11,['*OCC(=O)O']
CO2CH3,11,['*C(=O)OC']
N3,11,['*N=[N+]=[N-]']
COOEt,11,['*C(=O)OCC']
PPh2,10,['*P(C1=CC=CC=C1)C1=CC=CC=C1']
OC2H5,9,['*OCC']
CF2O,8,['*OC(*)(F)F']
N(C2H5)2,8,['*N(CC)CC']
(CH2)3,7,"['**CC*', '*CCC*']"
SO2,7,['*S(*)(=O)=O']
(C2H5)2N,7,['*N(CC)CC']
NHBoc,7,['*NC(=O)OC(C)(C)C']
CH2OMe,7,['*COC']
CONH2,6,['*C(N)=O']
(CF2)8H,6,['*C(F)(F)C(F)(F)C(F)F']
BnN,6,['*N(*)CC1=CC=CC=C1']
CO2,6,['*OC(*)=O']
CH3O,6,['*OC']
COCH3,6,['*C(C)=O']
F5S,6,['*S(F)(F)(F)(F)F']
MeHN,5,['*NC']
(CH2)2,5,"['**C*', '*CC*']"
Boc2N,5,['*N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C']
OPh,5,['*OC1=CC=CC=C1']
Me2N,5,['*N(C)C']
OCH2Ph,5,['*OCC1=CC=CC=C1']
C(CH3)3,5,"['*C(C)(C)C', '*CC(C)C']"
CH2CH2CH2CH2,5,['*CCCC*']
SMe,4,['*SC']
COCOOCH2CH3,4,['*C(=O)C(=O)OCC']
SO2Cl,4,['*S(=O)(=O)Cl']
CHCH2,4,['*CC']
C5H11,4,['*CCCCC']
CO,4,['*C(*)=O']
H3CS,4,['*SC']
CH2CH,4,['*CC']
CH2CH2CH,4,"['*CCC', '*CCC(*)*']"
SO3H,4,['*S(=O)(=O)O']
(H5C2)2N,4,['*N(CC)CC']
CO2C(CH3)3,4,['*C(=O)OC(C)(C)C']
C4H9,4,['*CCCC']
MeS,4,['*SC']
SO2NH,4,"['**S(*)(=O)=O', '*N1*S1(=O)=O', '*NS(*)(=O)=O']"
EtOOC,3,['*C(=O)OCC']
F3CO,3,['*OC(F)(F)F']
Ph2P,3,['*P(C1=CC=CC=C1)C1=CC=CC=C1']
NBoc,3,['*N(*)C(=O)OC(C)(C)C']
O2S,3,['*S(*)(=O)=O']
(CF2)6H,3,['*C(F)F']
Bn,3,['*CC1=CC=CC=C1']
NHNHCOCH3,3,['*NNC(C)=O']
(CH2)4,3,['*CCCC*']
C2H5O,3,['*OCC']
NMe2,3,['*N(C)C']
CHCH2CH2,3,"['*CCC', '*CCC(*)*']"
BocHN,3,['*NC(=O)OC(C)(C)C']
HOH2C,2,['*CO']
NO,2,['*N=O']
OHC,2,['*C=O']
NHSO2Me,2,['*NS(C)(=O)=O']
NCH3,2,['*N(*)C']
C10H21,2,['*CCCCCCCCCC']
CH2CH2C(O)OCH2CH3,2,['*CCC(=O)OCC']
NHCH3,2,['*NC']
CH2CH2CH3,2,['*CCC']
SO2NHCH2CH,2,['**(*)CNS(*)(=O)=O']
SCH3,2,['*SC']
COOC2H5,2,['*C(=O)OCC']
PhS,2,['*SC1=CC=CC=C1']
H4NO3S,2,['*S(=O)(=O)ON']
CH2OH,2,['*CO']
CONH,2,"['**C(*)=O', '*N*(*)=O']"
SOCH3,2,['*S(C)=O']
COOCH2Ph,2,['*C(=O)OCC1=CC=CC=C1']
C3H7,2,['*CCC']
TFA�H2N,2,['*NC(=O)C(F)(F)F']
Et2N,2,['*N(CC)CC']
CH(CH3)2,2,['*C(C)C']
MeO2C,2,['*C(=O)OC']
OTos,2,['*OS(=O)(=O)C1=CC=C(C)C=C1']
MeOH2C,2,['*C(C)=O']
HCH2CH2CH2C,1,['*CCCC(*)*']
NHCOOEt,1,['*NC(=O)OCC']
CO2CysPr,1,['*C(=O)ON[C@@H](CS)C(=O)CCC']
RO2C,1,['*C(=O)OC']
ClCH2CH2CH2,1,['*CCCCl']
CH2CH2CH2Cl,1,['*CCCCl']
NHPh,1,['*NC1=CC=CC=C1']
N(CH3)2,1,['*N(C)C']
NH+3,1,['*NN[NH3+]']
COO-,1,['*C(=O)[O-]']
CH3CONH,1,['*NC(C)=O']
COCH2,1,['*CC(*)=O']
NMe,1,['*N(*)C']
CH2C,1,['*CC(*)(*)*']
(CF2)4H,1,['*C(F)(F)C(F)(F)C(F)(F)C(F)F']
CH2Cl,1,['*CCl']
H15C7,1,['*CCCCCCC']
SO2CH2CH2CH2SO2NH,1,['*NS(=O)(=O)CCCS(*)(=O)=O']
NHSO2Bu,1,['*NS(=O)(=O)CCCC']
FmocHN,1,['*NC(*)=O']
H3CHN,1,['*NC']
OCH2CH2OH,1,['*OCCO']
C8H17,1,['*CCCCCCCC']
PhHN,1,['*NC1=CC=CC=C1']
SPh,1,['*SC1=CC=CC=C1']
OTf,1,['*OS(=O)(=O)C(F)(F)F']
PH3C,1,['*CP']
Trt,1,['*1=*C=CC=C1']
(CH2)10,1,['*C(*)CCCCCCCCC']
NHCO,1,['*NCO*']
Bn2N,1,['*N(CC1=CC=CC=C1)CC1=CC=CC=C1']
CH2CH2CHCH2CH3,1,['*CCC(*)CC']
CONH(CH2)6NHCOCH(CH2)3N-t-BOC,1,['*C[N-](*)C(=O)OC(C)(C)C']
BnO,1,['*OCC1=CC=CC=C1']
CF2CF3,1,['*C(F)(F)C(F)(F)F']
CH2CH2Cl,1,['*CCCl']
ClCH2CH2C,1,['*C(*)(*)CCCl']
OC,1,['*CO*']
CH2CH2CH2SCH3,1,['*CCCSC']
SO2CH2CH2CH2SO2NHCH2CH2CH2O,1,['*OCCCNS(=O)(=O)CCCS(*)(=O)=O']
NHC18H37,1,['*CCCC*']
NHSO2CH3,1,['*NS(C)(=O)=O']
(H3C)2HC,1,['*C(C)C']
(Boc)2N,1,['*N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C']
Ts,1,['*S(=O)(=O)C1=CC=C(C)C=C1']
(CH3CH2CH2CH2)2N,1,['*N(CCCC)CCCC']
N(CH2CH2CH2CH3)2,1,['*N(CCCC)CCCC']
Me(H)N,1,['*NC']
N(H)Me,1,['*NC']
H4NOOC,1,['*C(=O)ON']
(CH2)5,1,['*CCCCC*']
SO2,1,['*S(*)(=O)=O']
CHCH2CH2CH2,1,['*CCCC(*)*']
(CH2)11Me,1,['*CCCCCCCCCCCC']
H2CO,1,['*OC']
(CH2)4O,1,['*CCCCO*']
OBz,1,['*OC(=O)C1=CC=CC=C1']
OBoc,1,['*OC(=O)OC(C)(C)C']
OCH2CF3,1,['*OCC(F)(F)F']
CHCHCH2CH2,1,['*C(C)CC']
N(CH2CH2CH3)2,1,['*N(CCC)CCC']
(H7C3)2N,1,['*N(CCC)CCC']
HOCH2,1,['*CO']
OCH2OC2H5,1,['*OCOCC']
COO,1,['*OC(*)=O']
EtO2C,1,['*C(=O)OCC']
(CH2)16Me,1,['*CC']
CCl3,1,['*C(Cl)(Cl)Cl']
COOCH3,1,['*C(=O)OC']
n-Bu,1,['*CCCC']
(CH2)9CH3,1,['*CCCCCCCCCC']
H7C3,1,['*CCC']
N(H)Et,1,['*NCC']
Et(H)N,1,['*NCC']
MeN,1,['*N(*)C']
OCH2CHOHCH2NH2,1,['*OCC(O)CN']
H23C11,1,['*CCCCCCCCCCC']
OCH2CHCH2CCH3,1,['*OCC(*)CC(*)(*)C']
NHCOCH,1,['*NC(=O)*(*)*']
EtO,1,['*OCC']
CONH(CH2)2NHCOCH(CH2)3N-t-BOC,1,['[*-]C(=O)**(C)(C)C']
OCF2H,1,['*OC(F)F']
CH2CH2CH2CH2CH,1,['*CCCCC']
